Game ID,Puzzle Date,Group Name,Group Level,Word
syn-1,2022-01-02,THINGS THAT ARE SHARP,0,KNIFE
syn-1,2022-01-02,THINGS THAT ARE SHARP,0,NEEDLE
syn-1,2022-01-02,THINGS THAT ARE SHARP,0,TACK
syn-1,2022-01-02,THINGS THAT ARE SHARP,0,BLADE
syn-1,2022-01-02,TYPES OF MUSIC GENRES,1,SOUL
syn-1,2022-01-02,TYPES OF MUSIC GENRES,1,PUNK
syn-1,2022-01-02,TYPES OF MUSIC GENRES,1,BLUES
syn-1,2022-01-02,TYPES OF MUSIC GENRES,1,GOSPEL
syn-1,2022-01-02,WORDS HIDING A BODY PART,2,LEGIBLE
syn-1,2022-01-02,WORDS HIDING A BODY PART,2,ARMADA
syn-1,2022-01-02,WORDS HIDING A BODY PART,2,HEADWAY
syn-1,2022-01-02,WORDS HIDING A BODY PART,2,NOSTRIL
syn-1,2022-01-02,HOMOPHONES OF THINGS YOU WEAR,3,SUITE
syn-1,2022-01-02,HOMOPHONES OF THINGS YOU WEAR,3,GENES
syn-1,2022-01-02,HOMOPHONES OF THINGS YOU WEAR,3,THROUGH
syn-1,2022-01-02,HOMOPHONES OF THINGS YOU WEAR,3,WAIST
syn-2,2022-01-03,TYPES OF BREAD,0,SOURDOUGH
syn-2,2022-01-03,TYPES OF BREAD,0,PUMPERNICKEL
syn-2,2022-01-03,TYPES OF BREAD,0,FLATBREAD
syn-2,2022-01-03,TYPES OF BREAD,0,FOCACCIA
syn-2,2022-01-03,THINGS THAT ARE COLD,1,SHOULDER
syn-2,2022-01-03,THINGS THAT ARE COLD,1,WAR
syn-2,2022-01-03,THINGS THAT ARE COLD,1,FEET
syn-2,2022-01-03,THINGS THAT ARE COLD,1,CASE
syn-2,2022-01-03,WORDS CONTAINING A MUSICAL NOTE,2,BEFRIEND
syn-2,2022-01-03,WORDS CONTAINING A MUSICAL NOTE,2,RESONATE
syn-2,2022-01-03,WORDS CONTAINING A MUSICAL NOTE,2,MIDTERM
syn-2,2022-01-03,WORDS CONTAINING A MUSICAL NOTE,2,FAKERY
syn-2,2022-01-03,MICHAEL ___,3,JORDAN
syn-2,2022-01-03,MICHAEL ___,3,BOLTON
syn-2,2022-01-03,MICHAEL ___,3,JACKSON
syn-2,2022-01-03,MICHAEL ___,3,FASSBENDER
syn-3,2022-01-04,TYPES OF PASTA,0,PENNE
syn-3,2022-01-04,TYPES OF PASTA,0,RIGATONI
syn-3,2022-01-04,TYPES OF PASTA,0,FUSILLI
syn-3,2022-01-04,TYPES OF PASTA,0,LINGUINE
syn-3,2022-01-04,WORDS THAT CAN FOLLOW 'HARD',1,DRIVE
syn-3,2022-01-04,WORDS THAT CAN FOLLOW 'HARD',1,COPY
syn-3,2022-01-04,WORDS THAT CAN FOLLOW 'HARD',1,WEAR
syn-3,2022-01-04,WORDS THAT CAN FOLLOW 'HARD',1,WIRE
syn-3,2022-01-04,HIDDEN FRUIT INSIDE,2,ORANGE
syn-3,2022-01-04,HIDDEN FRUIT INSIDE,2,APRICOT
syn-3,2022-01-04,HIDDEN FRUIT INSIDE,2,PINEAPPLE
